iter	Passed	Remaining
592	3187	2187
593	3192	2181
594	3196	2175
595	3201	2169
596	3205	2163
597	3210	2158
598	3214	2151
599	3219	2146
600	3224	2140
601	3229	2134
602	3233	2128
603	3237	2122
604	3242	2117
605	3246	2110
606	3251	2105
607	3255	2099
608	3260	2093
609	3264	2087
610	3269	2081
611	3273	2075
612	3278	2069
613	3282	2063
614	3287	2057
615	3291	2051
616	3296	2046
617	3300	2040
618	3305	2034
619	3310	2028
620	3314	2022
621	3318	2016
622	3323	2011
623	3327	2005
624	3332	1999
625	3336	1993
626	3340	1987
627	3344	1981
628	3349	1975
629	3353	1969
630	3358	1963
631	3362	1957
632	3366	1952
633	3371	1946
634	3375	1940
635	3380	1934
636	3384	1928
637	3389	1922
638	3393	1917
639	3397	1911
640	3402	1905
641	3406	1899
642	3411	1893
643	3415	1888
644	3420	1882
645	3424	1876
646	3429	1871
647	3433	1865
648	3438	1859
649	3442	1853
650	3447	1847
651	3451	1842
652	3455	1836
653	3460	1830
654	3464	1824
655	3468	1819
656	3473	1813
657	3477	1807
658	3482	1802
659	3487	1796
660	3491	1790
661	3496	1784
662	3500	1779
663	3504	1773
664	3509	1767
665	3514	1762
666	3518	1756
667	3523	1750
668	3527	1745
669	3531	1739
670	3536	1733
671	3540	1728
672	3545	1722
673	3549	1717
674	3554	1711
675	3558	1705
676	3563	1700
677	3568	1694
678	3572	1688
679	3577	1683
680	3581	1677
681	3585	1671
682	3590	1666
683	3595	1660
684	3599	1655
685	3604	1649
686	3608	1643
687	3612	1638
688	3617	1632
689	3622	1627
690	3626	1621
691	3631	1616
692	3636	1610
693	3640	1605
694	3645	1599
695	3650	1594
696	3654	1588
697	3659	1583
698	3664	1577
699	3668	1572
700	3673	1566
701	3677	1561
702	3682	1555
703	3686	1550
704	3691	1544
705	3695	1538
706	3700	1533
707	3704	1528
708	3709	1522
709	3713	1516
710	3718	1511
711	3722	1505
712	3727	1500
713	3733	1495
714	3738	1490
715	3743	1484
716	3748	1479
717	3752	1473
718	3757	1468
719	3761	1462
720	3766	1457
721	3770	1451
722	3774	1446
723	3779	1440
724	3783	1435
725	3787	1429
726	3792	1424
727	3796	1418
728	3801	1413
729	3805	1407
730	3810	1402
731	3814	1396
732	3818	1390
733	3823	1385
734	3827	1380
735	3832	1374
736	3836	1369
737	3841	1363
738	3845	1358
739	3850	1352
740	3855	1347
741	3859	1342
742	3864	1336
743	3868	1331
744	3873	1325
745	3878	1320
746	3882	1315
747	3887	1309
748	3892	1304
749	3896	1298
750	3901	1293
751	3906	1288
752	3910	1282
753	3915	1277
754	3921	1272
755	3925	1266
756	3930	1261
757	3935	1256
758	3939	1250
759	3944	1245
760	3949	1240
761	3954	1235
762	3958	1229
763	3964	1224
764	3969	1219
765	3973	1213
766	3978	1208
767	3982	1203
768	3987	1197
769	3991	1192
770	3996	1187
771	4001	1181
772	4005	1176
773	4010	1171
774	4014	1165
775	4019	1160
776	4023	1154
777	4028	1149
778	4032	1144
779	4039	1139
780	4044	1134
781	4048	1128
782	4053	1123
783	4058	1118
784	4062	1112
785	4067	1107
786	4071	1101
787	4076	1096
788	4080	1091
789	4085	1085
790	4089	1080
791	4094	1075
792	4099	1070
793	4103	1064
794	4107	1059
795	4112	1053
796	4116	1048
797	4121	1043
798	4125	1037
799	4129	1032
800	4134	1027
801	4138	1021
802	4143	1016
803	4148	1011
804	4152	1005
805	4157	1000
806	4161	995
807	4165	989
808	4170	984
809	4174	979
810	4179	973
811	4183	968
812	4187	963
813	4193	958
814	4197	952
815	4202	947
816	4206	942
817	4211	937
818	4216	931
819	4221	926
820	4225	921
821	4230	916
822	4234	910
823	4239	905
824	4243	900
825	4248	894
826	4252	889
827	4257	884
828	4261	879
829	4266	873
830	4270	868
831	4275	863
832	4279	858
833	4284	852
834	4289	847
835	4294	842
836	4299	837
837	4303	831
838	4307	826
839	4312	821
840	4316	816
841	4321	810
842	4325	805
843	4329	800
844	4334	795
845	4338	789
846	4343	784
847	4347	779
848	4352	774
849	4356	768
850	4361	763
851	4365	758
852	4370	753
853	4374	747
854	4379	742
855	4383	737
856	4387	732
857	4392	726
858	4397	721
859	4401	716
860	4406	711
861	4410	706
862	4414	700
863	4419	695
864	4423	690
865	4428	685
866	4433	680
867	4437	674
868	4442	669
869	4446	664
870	4451	659
871	4455	653
872	4459	648
873	4464	643
874	4468	638
875	4472	633
876	4477	627
877	4481	622
878	4486	617
879	4490	612
880	4495	607
881	4499	602
882	4504	596
883	4509	591
884	4513	586
885	4518	581
886	4522	576
887	4527	570
888	4531	565
889	4536	560
890	4540	555
891	4545	550
892	4549	545
893	4554	539
894	4558	534
895	4562	529
896	4567	524
897	4571	519
898	4576	514
899	4580	508
900	4585	503
901	4590	498
902	4594	493
903	4599	488
904	4604	483
905	4608	478
906	4613	473
907	4617	467
908	4621	462
909	4626	457
910	4630	452
911	4635	447
912	4640	442
913	4644	437
914	4649	431
915	4653	426
916	4658	421
917	4663	416
918	4667	411
919	4672	406
920	4677	401
921	4681	396
922	4686	390
923	4691	385
924	4696	380
925	4700	375
926	4705	370
927	4709	365
928	4714	360
929	4718	355
930	4724	350
931	4730	345
932	4735	340
933	4739	334
934	4744	329
935	4749	324
936	4754	319
937	4758	314
938	4762	309
939	4767	304
940	4771	299
941	4776	294
942	4780	288
943	4785	283
944	4789	278
945	4794	273
946	4798	268
947	4803	263
948	4807	258
949	4811	253
950	4816	248
951	4821	243
952	4825	237
953	4830	232
954	4834	227
955	4838	222
956	4843	217
957	4847	212
958	4852	207
959	4856	202
960	4860	197
961	4865	192
962	4869	187
963	4873	182
964	4878	176
965	4882	171
966	4887	166
967	4891	161
968	4895	156
969	4900	151
970	4904	146
971	4909	141
972	4914	136
973	4919	131
974	4924	126
975	4929	121
976	4934	116
977	4938	111
978	4943	106
979	4948	100
980	4952	95
981	4959	90
982	4963	85
983	4968	80
984	4972	75
985	4977	70
986	4981	65
987	4986	60
988	4990	55
989	4995	50
990	5003	45
991	5008	40
992	5012	35
993	5016	30
994	5020	25
995	5025	20
996	5030	15
997	5034	10
998	5039	5
999	5043	0
